Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Банкя (гр.),482236.47,1447.83,EUR,Къща,2024-07-28
Бенковски,360000.00,4390.24,EUR,Къща,2024-07-28
Бояна,986415.00,2497.59,EUR,Къща,2024-07-28
Бъкстон,767500.00,2178.85,EUR,Къща,2024-07-28
Витоша,481000.00,1328.73,EUR,Къща,2024-07-28
Врана - Лозен в.з.,790000.00,1775.28,EUR,Къща,2024-07-28
Горна Баня,606840.00,1777.50,EUR,Къща,2024-07-28
Драгалевци,989384.50,2354.75,EUR,Къща,2024-07-28
Зона Б18,249999.00,2336.44,EUR,Къща,2024-07-28
Зона Б19,340000.00,1650.48,EUR,Къща,2024-07-28
Изток,2000000.00,7142.86,EUR,Къща,2024-07-28
Илиянци,290000.00,1450.00,EUR,Къща,2024-07-28
Княжево,441182.06,1478.00,EUR,Къща,2024-07-28
Красна Поляна,133000.00,665.00,EUR,Къща,2024-07-28
Левски,516666.66,1448.60,EUR,Къща,2024-07-28
Лозенец,722500.00,2620.13,EUR,Къща,2024-07-28
Люлин 8,200000.00,3030.30,EUR,Къща,2024-07-28
Люлин Център,325000.00,1083.33,EUR,Къща,2024-07-28
м-т Гърдова глава,380000.00,1151.52,EUR,Къща,2024-07-28
м-т Детски град,934442.00,2328.54,EUR,Къща,2024-07-28
Малашевци,250000.00,1785.71,EUR,Къща,2024-07-28
Малинова Долина,834148.19,2079.10,EUR,Къща,2024-07-28
Малинова долина в.з.,834000.00,2798.66,EUR,Къща,2024-07-28
Манастирски ливади Запад,1599000.00,2486.78,EUR,Къща,2024-07-28
Надежда 1,650000.00,2006.17,EUR,Къща,2024-07-28
Надежда 2,360000.00,3130.44,EUR,Къща,2024-07-28
Надежда 3,450000.00,1840.49,EUR,Къща,2024-07-28
Надежда 4,691666.69,1849.38,EUR,Къща,2024-07-28
Обеля,115000.00,1513.16,EUR,Къща,2024-07-28
Обеля 1,189990.00,2968.59,EUR,Къща,2024-07-28
Оборище,1435000.00,2952.68,EUR,Къща,2024-07-28
Овча Купел,506000.00,1163.22,EUR,Къща,2024-07-28
Павлово,819666.69,2276.85,EUR,Къща,2024-07-28
Подуене,406666.66,1261.63,EUR,Къща,2024-07-28
Редута,586666.31,2458.10,EUR,Къща,2024-07-28
Симеоново,895843.75,2194.35,EUR,Къща,2024-07-28
Требич,286000.00,1643.68,EUR,Къща,2024-07-28
Филиповци,342750.00,862.81,EUR,Къща,2024-07-28
Център,1110916.25,3236.07,EUR,Къща,2024-07-28
Яворов,1467500.00,3547.90,EUR,Къща,2024-07-28
Банишора,25000.00,781.25,EUR,"Гараж, паркомясто",2024-07-28
Борово,60000.00,1714.29,EUR,"Гараж, паркомясто",2024-07-28
Бъкстон,15000.00,714.29,EUR,"Гараж, паркомясто",2024-07-28
Витоша,70590.00,94.50,EUR,"Гараж, паркомясто",2024-07-28
Гео Милев,55000.00,2115.39,EUR,"Гараж, паркомясто",2024-07-28
Горна Баня,12300.00,1118.18,EUR,"Гараж, паркомясто",2024-07-28
Дианабад,28000.00,2000.00,EUR,"Гараж, паркомясто",2024-07-28
Дружба,10000.00,666.67,EUR,"Гараж, паркомясто",2024-07-28
Дружба 1,26900.00,1582.35,EUR,"Гараж, паркомясто",2024-07-28
Дружба 2,18000.00,857.14,EUR,"Гараж, паркомясто",2024-07-28
Дървеница,40300.00,1422.35,EUR,"Гараж, паркомясто",2024-07-28
Зона Б18,35000.00,1666.67,EUR,"Гараж, паркомясто",2024-07-28
Зона Б19,17500.00,1093.75,EUR,"Гараж, паркомясто",2024-07-28
Зона Б5,35000.00,1794.87,EUR,"Гараж, паркомясто",2024-07-28
Изгрев,43500.00,2558.82,EUR,"Гараж, паркомясто",2024-07-28
Княжево,21998.00,1294.00,EUR,"Гараж, паркомясто",2024-07-28
Кръстова Вада,38000.00,1900.00,EUR,"Гараж, паркомясто",2024-07-28
Левски,20000.00,1333.33,EUR,"Гараж, паркомясто",2024-07-28
Левски Г,9500.00,791.67,EUR,"Гараж, паркомясто",2024-07-28
Лозенец,44000.00,2095.24,EUR,"Гараж, паркомясто",2024-07-28
Люлин 6,22000.00,880.00,EUR,"Гараж, паркомясто",2024-07-28
Люлин 7,25999.00,1039.96,EUR,"Гараж, паркомясто",2024-07-28
Люлин 9,17900.00,1118.75,EUR,"Гараж, паркомясто",2024-07-28
Люлин Център,25999.00,1039.96,EUR,"Гараж, паркомясто",2024-07-28
м-т Гърдова глава,25000.00,1470.59,EUR,"Гараж, паркомясто",2024-07-28
Малинова Долина,24750.00,638.71,EUR,"Гараж, паркомясто",2024-07-28
Манастирски ливади Запад,25250.00,1485.29,EUR,"Гараж, паркомясто",2024-07-28
Младост 2,34000.00,944.44,EUR,"Гараж, паркомясто",2024-07-28
Надежда 2,25000.00,735.29,EUR,"Гараж, паркомясто",2024-07-28
Надежда 3,35000.00,1521.74,EUR,"Гараж, паркомясто",2024-07-28
Надежда 4,26000.00,1238.09,EUR,"Гараж, паркомясто",2024-07-28
Оборище,70000.00,2333.33,EUR,"Гараж, паркомясто",2024-07-28
Овча Купел,28000.00,1138.21,EUR,"Гараж, паркомясто",2024-07-28
Овча Купел 2,60000.00,1428.57,EUR,"Гараж, паркомясто",2024-07-28
Павлово,42000.00,2333.33,EUR,"Гараж, паркомясто",2024-07-28
Подуене,32166.67,1304.05,EUR,"Гараж, паркомясто",2024-07-28
Редута,39666.67,1545.45,EUR,"Гараж, паркомясто",2024-07-28
Слатина,60000.00,1764.71,EUR,"Гараж, паркомясто",2024-07-28
Студентски Град,38913.33,1191.22,EUR,"Гараж, паркомясто",2024-07-28
Суха Река,36000.00,1241.38,EUR,"Гараж, паркомясто",2024-07-28
Хаджи Димитър,59999.75,679.88,EUR,"Гараж, паркомясто",2024-07-28
Хиподрума,54500.00,1602.94,EUR,"Гараж, паркомясто",2024-07-28
Хладилника,35000.00,2058.82,EUR,"Гараж, паркомясто",2024-07-28
Център,37780.00,1330.28,EUR,"Гараж, паркомясто",2024-07-28
Банишора,81000.00,1800.00,EUR,"Ателие, таван, студио",2024-07-28
Дървеница,85000.00,1888.89,EUR,"Ателие, таван, студио",2024-07-28
Зона Б18,49999.00,2777.72,EUR,"Ателие, таван, студио",2024-07-28
Илинден,76000.00,1041.10,EUR,"Ателие, таван, студио",2024-07-28
Лозенец,95480.00,3978.33,EUR,"Ателие, таван, студио",2024-07-28
Люлин 5,98580.00,1232.25,EUR,"Ателие, таван, студио",2024-07-28
Младост 1,32900.00,2056.25,EUR,"Ателие, таван, студио",2024-07-28
Младост 4,142460.00,1695.95,EUR,"Ателие, таван, студио",2024-07-28
Оборище,151823.00,2266.01,EUR,"Ателие, таван, студио",2024-07-28
Овча Купел,170583.33,1457.98,EUR,"Ателие, таван, студио",2024-07-28
Овча Купел 2,230230.00,1820.00,EUR,"Ателие, таван, студио",2024-07-28
Подуене,135764.00,2143.64,EUR,"Ателие, таван, студио",2024-07-28
Симеоново,84450.00,1362.10,EUR,"Ателие, таван, студио",2024-07-28
Студентски Град,82500.00,2171.05,EUR,"Ателие, таван, студио",2024-07-28
Суха Река,135573.00,2069.82,EUR,"Ателие, таван, студио",2024-07-28
Център,138149.00,2197.20,EUR,"Ателие, таван, студио",2024-07-28
Банишора,332859.16,2082.54,EUR,Многостаен апартамемент,2024-07-28
Банкя (гр.),331400.00,2151.95,EUR,Многостаен апартамемент,2024-07-28
Белите Брези,402500.00,2274.01,EUR,Многостаен апартамемент,2024-07-28
Борово,595204.69,2280.48,EUR,Многостаен апартамемент,2024-07-28
Бояна,521032.31,2258.00,EUR,Многостаен апартамемент,2024-07-28
Бъкстон,405330.75,2387.81,EUR,Многостаен апартамемент,2024-07-28
Витоша,455694.56,1680.03,EUR,Многостаен апартамемент,2024-07-28
Гео Милев,400000.00,3333.33,EUR,Многостаен апартамемент,2024-07-28
Горна Баня,527757.31,2094.27,EUR,Многостаен апартамемент,2024-07-28
Гоце Делчев,671866.69,2217.38,EUR,Многостаен апартамемент,2024-07-28
Дианабад,880250.00,2656.16,EUR,Многостаен апартамемент,2024-07-28
Драгалевци,623155.12,2086.46,EUR,Многостаен апартамемент,2024-07-28
Дружба 1,453591.00,1484.75,EUR,Многостаен апартамемент,2024-07-28
Дружба 2,427250.00,2370.32,EUR,Многостаен апартамемент,2024-07-28
Дървеница,508076.66,2450.53,EUR,Многостаен апартамемент,2024-07-28
Зона Б5,198000.00,1800.00,EUR,Многостаен апартамемент,2024-07-28
Иван Вазов,462000.00,3000.00,EUR,Многостаен апартамемент,2024-07-28
Изгрев,708499.00,3264.97,EUR,Многостаен апартамемент,2024-07-28
Изток,664622.50,2513.94,EUR,Многостаен апартамемент,2024-07-28
Красна Поляна,193081.86,1367.99,EUR,Многостаен апартамемент,2024-07-28
Красно Село,418116.00,2061.72,EUR,Многостаен апартамемент,2024-07-28
Кръстова Вада,603744.94,2503.05,EUR,Многостаен апартамемент,2024-07-28
Лагера,459456.00,2192.06,EUR,Многостаен апартамемент,2024-07-28
Левски Г,205000.00,1808.82,EUR,Многостаен апартамемент,2024-07-28
Лозенец,640488.50,2655.98,EUR,Многостаен апартамемент,2024-07-28
Люлин 10,285000.00,1727.27,EUR,Многостаен апартамемент,2024-07-28
Люлин 2,200303.11,1477.31,EUR,Многостаен апартамемент,2024-07-28
Люлин 5,211996.19,1334.84,EUR,Многостаен апартамемент,2024-07-28
Люлин 9,225943.20,1137.68,EUR,Многостаен апартамемент,2024-07-28
Люлин Център,338600.00,1453.22,EUR,Многостаен апартамемент,2024-07-28
Малинова Долина,315091.69,1756.08,EUR,Многостаен апартамемент,2024-07-28
Манастирски ливади Запад,502844.44,1896.73,EUR,Многостаен апартамемент,2024-07-28
Манастирски ливади Изток,451408.81,2344.98,EUR,Многостаен апартамемент,2024-07-28
Младост 1,361533.34,1813.71,EUR,Многостаен апартамемент,2024-07-28
Младост 2,429953.00,1901.24,EUR,Многостаен апартамемент,2024-07-28
Младост 4,264558.94,1812.51,EUR,Многостаен апартамемент,2024-07-28
Обеля,170000.00,1096.77,EUR,Многостаен апартамемент,2024-07-28
Оборище,638549.81,3200.54,EUR,Многостаен апартамемент,2024-07-28
Овча Купел,244693.47,1538.31,EUR,Многостаен апартамемент,2024-07-28
Овча Купел 1,159211.00,1501.99,EUR,Многостаен апартамемент,2024-07-28
Овча Купел 2,235817.75,1480.22,EUR,Многостаен апартамемент,2024-07-28
Павлово,490000.00,1531.25,EUR,Многостаен апартамемент,2024-07-28
Полигона,451935.66,1462.57,EUR,Многостаен апартамемент,2024-07-28
Разсадника,367250.00,2051.68,EUR,Многостаен апартамемент,2024-07-28
Симеоново,496742.84,2220.43,EUR,Многостаен апартамемент,2024-07-28
Слатина,205300.00,1555.30,EUR,Многостаен апартамемент,2024-07-28
Стрелбище,445985.72,2440.89,EUR,Многостаен апартамемент,2024-07-28
Студентски Град,543000.00,2077.81,EUR,Многостаен апартамемент,2024-07-28
Суха Река,303037.00,1864.02,EUR,Многостаен апартамемент,2024-07-28
Хаджи Димитър,331999.50,2049.38,EUR,Многостаен апартамемент,2024-07-28
Хиподрума,446333.00,1410.21,EUR,Многостаен апартамемент,2024-07-28
Хладилника,817960.00,2493.78,EUR,Многостаен апартамемент,2024-07-28
Център,599582.44,3194.50,EUR,Многостаен апартамемент,2024-07-28
Банишора,120441.36,1833.98,EUR,Двустаен апартамент,2024-06-20
Банкя (гр.),131762.88,1878.83,EUR,Двустаен апартамент,2024-06-20
Белите Брези,216433.33,2201.02,EUR,Двустаен апартамент,2024-06-20
Бенковски,99937.80,1551.83,EUR,Двустаен апартамент,2024-06-20
Борово,142904.00,2256.38,EUR,Двустаен апартамент,2024-06-20
Бояна,168805.12,344.69,EUR,Двустаен апартамент,2024-06-20
Бъкстон,150955.33,2057.31,EUR,Двустаен апартамент,2024-06-20
Витоша,147300.69,1901.20,EUR,Двустаен апартамент,2024-06-20
Гео Милев,202981.17,2879.17,EUR,Двустаен апартамент,2024-06-20
Горна Баня,180299.56,1867.31,EUR,Двустаен апартамент,2024-06-20
Гоце Делчев,163342.94,2309.28,EUR,Двустаен апартамент,2024-06-20
Дианабад,207702.19,2515.26,EUR,Двустаен апартамент,2024-06-20
Драгалевци,175145.98,2136.42,EUR,Двустаен апартамент,2024-06-20
Дружба,99885.34,1683.46,EUR,Двустаен апартамент,2024-06-20
Дружба 1,118953.51,1701.72,EUR,Двустаен апартамент,2024-06-20
Дружба 2,132139.05,1713.83,EUR,Двустаен апартамент,2024-06-20
Дървеница,134868.53,1993.53,EUR,Двустаен апартамент,2024-06-20
Западен Парк,125441.18,2048.51,EUR,Двустаен апартамент,2024-06-20
Захарна Фабрика,95750.00,1689.70,EUR,Двустаен апартамент,2024-06-20
Зона Б18,152151.08,2276.58,EUR,Двустаен апартамент,2024-06-20
Зона Б19,199000.00,2487.50,EUR,Двустаен апартамент,2024-06-20
Зона Б5,163339.39,2308.06,EUR,Двустаен апартамент,2024-06-20
Иван Вазов,342000.00,4992.70,EUR,Двустаен апартамент,2024-06-20
Изгрев,261369.12,3514.21,EUR,Двустаен апартамент,2024-06-20
Изток,194733.17,3227.62,EUR,Двустаен апартамент,2024-06-20
Илинден,115200.00,1815.76,EUR,Двустаен апартамент,2024-06-20
Княжево,129644.80,1836.33,EUR,Двустаен апартамент,2024-06-20
Красна Поляна,96895.07,1688.68,EUR,Двустаен апартамент,2024-06-20
Красно Село,156525.30,1905.81,EUR,Двустаен апартамент,2024-06-20
Кръстова Вада,168420.66,2138.68,EUR,Двустаен апартамент,2024-06-20
Лагера,181453.67,2416.70,EUR,Двустаен апартамент,2024-06-20
Левски,105883.64,1553.85,EUR,Двустаен апартамент,2024-06-20
Левски В,97188.80,1488.34,EUR,Двустаен апартамент,2024-06-20
Левски Г,139142.86,2529.87,EUR,Двустаен апартамент,2024-06-20
Лозенец,224345.00,2936.63,EUR,Двустаен апартамент,2024-06-20
Люлин 1,87972.50,1460.12,EUR,Двустаен апартамент,2024-06-20
Люлин 10,133428.91,1578.19,EUR,Двустаен апартамент,2024-06-20
Люлин 2,104019.77,1531.54,EUR,Двустаен апартамент,2024-06-20
Люлин 3,105215.38,1612.97,EUR,Двустаен апартамент,2024-06-20
Люлин 4,113206.25,1674.03,EUR,Двустаен апартамент,2024-06-20
Люлин 5,92123.45,1374.07,EUR,Двустаен апартамент,2024-06-20
Люлин 6,114188.38,1695.87,EUR,Двустаен апартамент,2024-06-20
Люлин 7,90725.00,1672.35,EUR,Двустаен апартамент,2024-06-20
Люлин 8,110083.44,1635.41,EUR,Двустаен апартамент,2024-06-20
Люлин 9,92115.16,1422.81,EUR,Двустаен апартамент,2024-06-20
Люлин Център,127517.70,1584.07,EUR,Двустаен апартамент,2024-06-20
м-т Гърдова глава,130616.66,1653.38,EUR,Двустаен апартамент,2024-06-20
Малинова Долина,122105.56,1701.25,EUR,Двустаен апартамент,2024-06-20
Малинова долина в.з.,110200.00,1657.14,EUR,Двустаен апартамент,2024-06-20
Манастирски ливади Запад,164802.67,2132.91,EUR,Двустаен апартамент,2024-06-20
Манастирски ливади Изток,174859.47,2271.66,EUR,Двустаен апартамент,2024-06-20
Младост 1,143921.44,2088.84,EUR,Двустаен апартамент,2024-06-20
Младост 1а,188585.72,2431.12,EUR,Двустаен апартамент,2024-06-20
Младост 2,153552.27,2141.48,EUR,Двустаен апартамент,2024-06-20
Младост 3,148067.62,2232.88,EUR,Двустаен апартамент,2024-06-20
Младост 4,126450.64,1816.01,EUR,Двустаен апартамент,2024-06-20
Мотописта,160000.00,1882.35,EUR,Двустаен апартамент,2024-06-20
Мусагеница,129999.66,2131.14,EUR,Двустаен апартамент,2024-06-20
Надежда 1,118851.61,1802.30,EUR,Двустаен апартамент,2024-06-20
Надежда 2,115382.08,1769.66,EUR,Двустаен апартамент,2024-06-20
Надежда 3,107443.00,1521.86,EUR,Двустаен апартамент,2024-06-20
Надежда 4,101373.52,1546.82,EUR,Двустаен апартамент,2024-06-20
Обеля,93620.00,1500.32,EUR,Двустаен апартамент,2024-06-20
Обеля 1,95961.00,1354.62,EUR,Двустаен апартамент,2024-06-20
Обеля 2,82757.93,1358.99,EUR,Двустаен апартамент,2024-06-20
Оборище,203315.78,3062.29,EUR,Двустаен апартамент,2024-06-20
Овча Купел,128721.25,1601.21,EUR,Двустаен апартамент,2024-06-20
Овча Купел 1,112184.84,1491.45,EUR,Двустаен апартамент,2024-06-20
Овча Купел 2,118082.44,1687.74,EUR,Двустаен апартамент,2024-06-20
Павлово,172265.73,1927.69,EUR,Двустаен апартамент,2024-06-20
Подуене,147092.59,2116.44,EUR,Двустаен апартамент,2024-06-20
Полигона,129733.66,1747.42,EUR,Двустаен апартамент,2024-06-20
Разсадника,145909.28,2215.54,EUR,Двустаен апартамент,2024-06-20
Редута,157779.50,2303.35,EUR,Двустаен апартамент,2024-06-20
Света Троица,138314.16,2110.43,EUR,Двустаен апартамент,2024-06-20
Свобода,117522.22,1849.12,EUR,Двустаен апартамент,2024-06-20
Сердика,151720.75,1989.78,EUR,Двустаен апартамент,2024-06-20
Симеоново,150289.81,2048.24,EUR,Двустаен апартамент,2024-06-20
Славия,123648.63,1681.25,EUR,Двустаен апартамент,2024-06-20
Слатина,170718.19,2410.65,EUR,Двустаен апартамент,2024-06-20
Стрелбище,182557.00,2662.29,EUR,Двустаен апартамент,2024-06-20
Студентски Град,124726.52,1732.85,EUR,Двустаен апартамент,2024-06-20
Суха Река,139793.73,1850.68,EUR,Двустаен апартамент,2024-06-20
Толстой,115531.55,1759.81,EUR,Двустаен апартамент,2024-06-20
Факултета,133000.00,1583.33,EUR,Двустаен апартамент,2024-06-20
Фондови Жилища,82000.00,1690.72,EUR,Двустаен апартамент,2024-06-20
Хаджи Димитър,126429.48,1908.57,EUR,Двустаен апартамент,2024-06-20
Хиподрума,183062.50,2560.31,EUR,Двустаен апартамент,2024-06-20
Хладилника,212906.08,2647.54,EUR,Двустаен апартамент,2024-06-20
Център,200313.36,2871.13,EUR,Двустаен апартамент,2024-06-20
Яворов,185000.00,2434.21,EUR,Двустаен апартамент,2024-06-20
Банишора,191862.44,1962.79,EUR,Тристаен апартамент,2024-06-20
Банкя (гр.),219811.06,1721.76,EUR,Тристаен апартамент,2024-06-20
Белите Брези,229820.00,1826.87,EUR,Тристаен апартамент,2024-06-20
Бенковски,110000.00,1250.00,EUR,Тристаен апартамент,2024-06-20
Борово,225021.03,2388.10,EUR,Тристаен апартамент,2024-06-20
Бояна,280366.25,2196.12,EUR,Тристаен апартамент,2024-06-20
Бъкстон,221012.83,1943.58,EUR,Тристаен апартамент,2024-06-20
Витоша,254529.61,2009.97,EUR,Тристаен апартамент,2024-06-20
Гео Милев,299345.31,2824.01,EUR,Тристаен апартамент,2024-06-20
Горна Баня,227264.94,1926.50,EUR,Тристаен апартамент,2024-06-20
Гоце Делчев,253430.97,2284.75,EUR,Тристаен апартамент,2024-06-20
Дианабад,301516.56,2364.54,EUR,Тристаен апартамент,2024-06-20
Драгалевци,285708.31,2207.60,EUR,Тристаен апартамент,2024-06-20
Дружба,179746.00,1862.65,EUR,Тристаен апартамент,2024-06-20
Дружба 1,185283.09,1564.17,EUR,Тристаен апартамент,2024-06-20
Дружба 2,212460.88,1824.92,EUR,Тристаен апартамент,2024-06-20
Дървеница,244542.83,2170.88,EUR,Тристаен апартамент,2024-06-20
Западен Парк,125966.66,1741.47,EUR,Тристаен апартамент,2024-06-20
Захарна Фабрика,137000.00,1723.27,EUR,Тристаен апартамент,2024-06-20
Зона Б18,220354.12,2224.40,EUR,Тристаен апартамент,2024-06-20
Зона Б19,289999.72,2688.74,EUR,Тристаен апартамент,2024-06-20
Зона Б5,262561.16,2277.48,EUR,Тристаен апартамент,2024-06-20
Иван Вазов,400285.72,3085.90,EUR,Тристаен апартамент,2024-06-20
Изгрев,361031.62,3174.63,EUR,Тристаен апартамент,2024-06-20
Изток,347577.34,3152.63,EUR,Тристаен апартамент,2024-06-20
Илинден,181647.36,1986.20,EUR,Тристаен апартамент,2024-06-20
Княжево,213535.58,1912.26,EUR,Тристаен апартамент,2024-06-20
Красна Поляна,132044.33,1511.11,EUR,Тристаен апартамент,2024-06-20
Красно Село,242388.41,1806.76,EUR,Тристаен апартамент,2024-06-20
Кръстова Вада,256594.98,2095.72,EUR,Тристаен апартамент,2024-06-20
Лагера,283826.22,2120.37,EUR,Тристаен апартамент,2024-06-20
Левски,156562.64,1405.26,EUR,Тристаен апартамент,2024-06-20
Левски В,160353.84,1508.50,EUR,Тристаен апартамент,2024-06-20
Левски Г,161700.00,1746.22,EUR,Тристаен апартамент,2024-06-20
Лозенец,458010.59,3219.71,EUR,Тристаен апартамент,2024-06-20
Люлин 1,145428.58,1618.44,EUR,Тристаен апартамент,2024-06-20
Люлин 10,191350.00,1599.58,EUR,Тристаен апартамент,2024-06-20
Люлин 2,165521.02,1351.49,EUR,Тристаен апартамент,2024-06-20
Люлин 3,157080.00,1845.11,EUR,Тристаен апартамент,2024-06-20
Люлин 4,152166.67,1878.60,EUR,Тристаен апартамент,2024-06-20
Люлин 5,141665.66,1367.69,EUR,Тристаен апартамент,2024-06-20
Люлин 6,151430.41,1686.31,EUR,Тристаен апартамент,2024-06-20
Люлин 8,144161.06,1515.29,EUR,Тристаен апартамент,2024-06-20
Люлин 9,131840.92,1408.99,EUR,Тристаен апартамент,2024-06-20
Люлин Център,175929.84,1577.16,EUR,Тристаен апартамент,2024-06-20
м-т Гърдова глава,329500.00,2353.57,EUR,Тристаен апартамент,2024-06-20
м-т Детски град,244000.00,2392.16,EUR,Тристаен апартамент,2024-06-20
Малинова Долина,197100.41,1668.51,EUR,Тристаен апартамент,2024-06-20
Малинова долина в.з.,485200.00,2475.51,EUR,Тристаен апартамент,2024-06-20
Манастирски ливади Запад,245876.23,1979.68,EUR,Тристаен апартамент,2024-06-20
Манастирски ливади Изток,251324.22,2188.98,EUR,Тристаен апартамент,2024-06-20
Младост 1,209206.14,2169.47,EUR,Тристаен апартамент,2024-06-20
Младост 1а,258762.50,2446.93,EUR,Тристаен апартамент,2024-06-20
Младост 2,229686.47,2026.42,EUR,Тристаен апартамент,2024-06-20
Младост 3,241842.86,2116.12,EUR,Тристаен апартамент,2024-06-20
Младост 4,197040.33,1798.77,EUR,Тристаен апартамент,2024-06-20
Мусагеница,211666.67,1918.43,EUR,Тристаен апартамент,2024-06-20
Надежда 1,186772.64,1814.93,EUR,Тристаен апартамент,2024-06-20
Надежда 2,162996.89,1798.45,EUR,Тристаен апартамент,2024-06-20
Надежда 3,143698.00,1710.69,EUR,Тристаен апартамент,2024-06-20
Надежда 4,131763.36,1481.68,EUR,Тристаен апартамент,2024-06-20
Обеля,139716.67,1566.92,EUR,Тристаен апартамент,2024-06-20
Обеля 1,135645.42,1352.59,EUR,Тристаен апартамент,2024-06-20
Обеля 2,119428.57,1279.46,EUR,Тристаен апартамент,2024-06-20
Оборище,376807.56,2954.65,EUR,Тристаен апартамент,2024-06-20
Овча Купел,183219.11,1669.54,EUR,Тристаен апартамент,2024-06-20
Овча Купел 1,169229.53,1539.56,EUR,Тристаен апартамент,2024-06-20
Овча Купел 2,174367.91,1538.01,EUR,Тристаен апартамент,2024-06-20
Павлово,236342.86,1956.71,EUR,Тристаен апартамент,2024-06-20
Подуене,206376.78,2086.96,EUR,Тристаен апартамент,2024-06-20
Полигона,229562.28,1876.24,EUR,Тристаен апартамент,2024-06-20
Разсадника,193222.67,1747.04,EUR,Тристаен апартамент,2024-06-20
Редута,237654.23,2122.57,EUR,Тристаен апартамент,2024-06-20
Света Троица,175804.08,1914.38,EUR,Тристаен апартамент,2024-06-20
Свобода,143360.00,1558.26,EUR,Тристаен апартамент,2024-06-20
Сердика,221808.41,1962.91,EUR,Тристаен апартамент,2024-06-20
Симеоново,288401.00,2153.68,EUR,Тристаен апартамент,2024-06-20
Славия,200918.22,1624.68,EUR,Тристаен апартамент,2024-06-20
Слатина,172107.58,1867.83,EUR,Тристаен апартамент,2024-06-20
Стрелбище,272699.94,2637.97,EUR,Тристаен апартамент,2024-06-20
Студентски Град,202474.62,1693.19,EUR,Тристаен апартамент,2024-06-20
Суха Река,208941.30,1938.01,EUR,Тристаен апартамент,2024-06-20
Толстой,139598.00,1545.37,EUR,Тристаен апартамент,2024-06-20
Фондови Жилища,138500.00,1884.35,EUR,Тристаен апартамент,2024-06-20
Хаджи Димитър,195760.41,1816.08,EUR,Тристаен апартамент,2024-06-20
Хиподрума,287148.62,2410.48,EUR,Тристаен апартамент,2024-06-20
Хладилника,321165.62,2493.15,EUR,Тристаен апартамент,2024-06-20
Център,330424.81,2990.97,EUR,Тристаен апартамент,2024-06-20
